iter	Passed	Remaining
0	161	161387
1	163	81505
2	164	54825
3	166	41457
4	167	33414
5	169	28066
6	170	24230
7	172	21341
8	173	19099
9	174	17298
10	175	15823
11	177	14618
12	179	13619
13	180	12743
14	182	11982
15	183	11303
16	185	10713
17	186	10188
18	188	9712
19	189	9292
20	191	8913
21	192	8559
22	193	8234
23	195	7934
24	196	7659
25	197	7406
26	199	7174
27	200	6959
28	202	6763
29	203	6573
30	204	6396
31	206	6247
32	207	6091
33	209	5942
34	210	5803
35	212	5683
36	214	5594
37	216	5480
38	217	5366
39	219	5260
40	220	5157
41	221	5058
42	223	4977
43	225	4888
44	226	4801
45	227	4720
46	229	4645
47	230	4570
48	231	4497
49	233	4428
50	234	4371
51	236	4310
52	237	4250
53	239	4192
54	241	4144
55	242	4087
56	243	4031
57	244	3977
58	246	3928
59	248	3891
60	249	3847
61	251	3805
62	252	3760
63	254	3717
64	255	3675
65	257	3640
66	258	3606
67	260	3566
68	261	3528
69	263	3496
70	264	3465
71	266	3431
72	267	3396
73	268	3363
74	270	3330
75	271	3298
76	272	3266
77	273	3235
78	274	3205
79	276	3176
80	278	3155
81	279	3127
82	280	3093
83	281	3067
84	282	3042
85	283	3017
86	285	2992
87	286	2969
88	287	2946
89	289	2923
90	290	2900
91	292	2883
92	293	2863
93	294	2842
94	296	2823
95	297	2803
96	298	2782
97	300	2762
98	301	2743
99	302	2724
100	303	2704
101	304	2684
102	307	2674
103	308	2656
104	309	2639
105	311	2623
106	312	2606
107	313	2589
108	314	2572
109	315	2556
110	317	2539
111	318	2524
112	319	2509
113	320	2494
114	322	2480
115	323	2467
116	324	2451
117	326	2436
118	327	2422
119	328	2408
120	329	2395
121	330	2380
122	331	2366
123	333	2352
124	334	2340
125	336	2331
126	337	2317
127	338	2306
128	339	2293
129	340	2281
130	342	2269
131	343	2257
132	344	2245
133	345	2233
134	346	2221
135	347	2209
136	349	2199
137	350	2191
138	351	2180
139	353	2168
140	354	2159
141	355	2147
142	356	2136
143	357	2126
144	358	2116
145	360	2107
146	361	2096
147	362	2087
148	364	2079
149	365	2070
150	366	2060
151	367	2051
152	368	2042
153	370	2033
154	371	2024
155	372	2015
156	373	2006
157	374	1997
158	376	1989
159	377	1981
160	378	1972
161	379	1964
162	381	1956
163	382	1948
164	383	1940
165	384	1932
166	385	1924
167	387	1916
168	388	1908
169	389	1900
170	390	1893
171	391	1885
172	393	1879
173	394	1872
174	395	1865
175	396	1858
176	398	1851
177	399	1844
178	400	1837
179	401	1831
180	403	1823
181	404	1816
182	405	1809
183	406	1803
184	408	1797
185	409	1791
186	410	1785
187	411	1778
188	412	1771
189	414	1765
190	415	1759
191	416	1752
192	417	1746
193	418	1739
194	419	1733
195	421	1727
196	423	1724
197	424	1718
198	425	1713
199	426	1707
200	428	1701
201	429	1695
202	430	1690
203	431	1684
204	432	1679
205	434	1673
206	435	1668
207	437	1664
208	438	1659
209	439	1654
210	440	1648
211	442	1643
212	443	1638
213	444	1632
214	445	1627
215	446	1621
216	448	1616
217	449	1611
218	450	1606
219	451	1602
220	453	1597
221	454	1593
222	455	1587
223	456	1582
224	458	1577
225	459	1572
226	460	1567
227	461	1563
228	462	1558
229	464	1553
230	465	1549
231	467	1546
232	468	1541
233	469	1536
234	470	1532
235	471	1527
236	473	1523
237	474	1518
238	475	1513
239	476	1509
240	477	1504
241	478	1500
242	480	1495
243	496	1537
244	497	1533
245	498	1528
246	500	1524
247	501	1519
248	502	1514
249	503	1509
250	504	1505
251	505	1500
252	506	1496
253	508	1492
254	509	1487
255	510	1483
256	512	1480
257	513	1476
258	514	1471
259	515	1467
260	516	1463
261	517	1459
262	519	1454
263	520	1450
264	521	1446
265	522	1442
266	523	1438
267	525	1436
268	527	1432
269	528	1428
270	529	1424
271	530	1420
272	531	1416
273	532	1411
274	534	1407
275	535	1404
276	536	1400
277	537	1396
278	539	1393
279	541	1391
280	542	1387
281	543	1384
282	544	1380
283	545	1376
284	547	1372
285	548	1368
286	549	1365
287	550	1361
288	552	1358
289	553	1354
290	554	1351
291	556	1348
292	557	1344
293	558	1340
294	559	1336
295	560	1333
296	561	1329
297	562	1326
298	564	1322
299	565	1319
300	566	1315
301	567	1312
302	569	1309
303	570	1306
304	571	1302
305	572	1299
306	573	1295
307	574	1291
308	575	1287
309	577	1284
310	578	1281
311	579	1277
312	580	1274
313	581	1271
314	583	1268
315	584	1265
316	585	1261
317	586	1258
318	588	1255
319	589	1251
320	590	1248
321	591	1245
322	592	1242
323	593	1238
324	595	1236
325	596	1233
326	597	1230
327	598	1227
328	600	1223
329	601	1220
330	602	1217
331	603	1214
332	604	1211
333	605	1208
334	607	1205
335	608	1202
336	609	1198
337	610	1196
338	612	1193
339	613	1190
340	614	1187
341	615	1184
342	616	1181
343	618	1178
344	619	1175
345	620	1172
346	621	1169
347	622	1166
348	623	1163
349	625	1160
350	626	1158
351	627	1155
352	628	1152
353	630	1149
354	631	1146
355	632	1143
356	633	1140
357	634	1138
358	635	1135
359	637	1132
360	638	1129
361	640	1128
362	642	1127
363	643	1124
364	644	1121
365	646	1119
366	647	1116
367	648	1113
368	649	1111
369	651	1108
370	652	1106
371	653	1103
372	655	1102
373	657	1100
374	658	1097
375	659	1094
376	660	1092
377	662	1089
378	663	1087
379	664	1084
380	665	1081
381	667	1079
382	668	1076
383	669	1074
384	671	1072
385	672	1069
386	673	1067
387	674	1064
388	675	1061
389	677	1059
390	678	1056
391	679	1054
392	681	1051
393	682	1049
394	683	1046
395	684	1044
396	686	1042
397	687	1039
398	688	1037
399	689	1034
400	690	1032
401	692	1029
402	693	1027
403	694	1024
404	695	1022
405	697	1020
406	698	1017
407	699	1015
408	701	1013
409	702	1010
410	703	1008
411	704	1006
412	706	1003
413	707	1001
414	708	999
415	709	996
416	711	994
417	712	992
418	714	990
419	715	987
420	716	985
421	717	983
422	719	981
423	720	978
424	721	976
425	722	974
426	724	971
427	725	969
428	726	967
429	728	965
430	729	963
431	730	960
432	731	958
433	733	956
434	734	954
435	735	951
436	736	949
437	738	947
438	739	944
439	740	942
440	742	941
441	743	939
442	744	936
443	746	934
444	747	932
445	748	929
446	749	927
447	750	925
448	752	922
449	753	920
450	754	918
451	755	916
452	757	914
453	758	912
454	759	909
455	760	907
456	761	905
457	763	903
458	764	901
459	765	898
460	766	896
461	768	894
462	769	892
463	770	889
464	771	887
465	772	885
466	773	883
467	775	881
468	776	879
469	777	876
470	778	874
471	779	872
472	781	870
473	782	868
474	783	865
475	784	863
476	785	861
477	786	859
478	788	857
479	789	855
480	790	853
481	791	851
482	793	848
483	794	846
484	795	844
485	796	842
486	797	840
487	798	838
488	800	836
489	801	833
490	802	831
491	803	829
492	804	827
493	806	825
494	807	823
495	808	821
496	809	819
497	810	817
498	811	815
499	812	812
500	813	810
501	815	808
502	816	806
503	817	804
504	818	802
505	820	800
506	821	798
507	822	796
508	823	794
509	825	792
510	826	790
511	827	788
512	828	786
513	829	784
514	831	782
515	832	781
516	834	779
517	835	777
518	836	775
519	837	773
520	839	771
521	840	769
522	841	767
523	842	765
524	844	763
525	845	761
526	846	759
527	847	757
528	849	755
529	850	753
530	851	751
531	852	749
532	853	748
533	855	746
534	856	744
535	857	742
536	858	740
537	859	738
538	860	736
539	862	734
540	863	732
541	864	730
542	865	728
543	866	726
544	868	724
545	869	722
546	870	720
547	871	718
548	872	716
549	873	714
550	874	712
551	876	711
552	877	709
553	878	707
554	879	705
555	880	703
556	881	701
557	883	699
558	884	697
559	885	695
560	886	693
561	887	691
562	888	689
563	889	687
564	891	686
565	892	684
566	893	682
567	894	680
568	895	678
569	896	676
570	897	674
571	898	672
572	900	670
573	901	668
574	902	667
575	903	665
576	904	663
577	906	661
578	907	659
579	908	657
580	909	655
581	910	654
582	911	652
583	912	650
584	914	648
585	915	646
586	916	644
587	917	642
588	918	641
589	920	639
590	921	637
591	922	635
592	923	633
593	924	631
594	925	630
595	926	628
596	927	626
597	929	624
598	930	622
599	931	620
600	932	619
601	933	617
602	935	615
603	936	613
604	937	612
605	938	610
606	940	608
607	941	606
608	942	605
609	943	603
610	944	601
611	946	599
612	947	598
613	948	596
614	949	594
615	950	592
616	952	590
617	953	589
618	954	587
619	955	585
620	956	583
621	957	581
622	958	580
623	960	578
624	961	576
625	962	575
626	963	573
627	964	571
628	965	569
629	967	567
630	968	566
631	969	564
632	970	562
633	971	560
634	972	559
635	973	557
636	975	555
637	976	553
638	977	552
639	978	550
640	979	548
641	980	546
642	981	545
643	983	543
644	984	541
645	985	539
646	986	538
647	987	536
648	988	534
649	990	533
650	991	531
651	992	529
652	993	527
653	994	526
654	995	524
655	996	522
656	997	520
657	999	519
658	1000	517
659	1001	515
660	1002	514
661	1003	512
662	1005	510
663	1006	509
664	1007	507
665	1009	506
666	1010	504
667	1011	502
668	1012	501
669	1014	499
670	1015	497
671	1016	496
672	1018	494
673	1020	493
674	1021	492
675	1023	490
676	1024	488
677	1026	487
678	1027	485
679	1028	484
680	1030	482
681	1031	480
682	1033	479
683	1034	478
684	1036	476
685	1037	474
686	1039	473
687	1040	471
688	1041	470
689	1043	468
690	1044	467
691	1045	465
692	1047	463
693	1048	462
694	1050	460
695	1051	459
696	1052	457
697	1054	456
698	1055	454
699	1056	452
700	1057	451
701	1059	449
702	1060	448
703	1062	446
704	1064	445
705	1065	443
706	1067	442
707	1068	440
708	1069	439
709	1071	437
710	1072	435
711	1073	434
712	1075	432
713	1076	431
714	1078	429
715	1079	428
716	1080	426
717	1082	424
718	1083	423
719	1084	421
720	1085	420
721	1087	418
722	1088	417
723	1090	415
724	1091	414
725	1093	412
726	1094	410
727	1095	409
728	1096	407
729	1098	406
730	1099	404
731	1100	402
732	1101	401
733	1102	399
734	1103	397
735	1105	396
736	1106	394
737	1107	393
